Lang code,Devanagari,Definition and notes,IAST (Official Word),IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique to ITRANS  ,,,
S,भूमिका,"story, step; as in sapta jnana bhūmikā (seven stages of progress toward enlightenment)",bhūmikā,bhumika,,,bhUmikA,,,,,,,bhuumikaa,,,
S,भूनामन्,bowing to the earth,bhūnāman,bhunaman,,,bhUnAman,bhunamana,bhūnāmana,bhUnAmana,,,,bhuunaaman,bhuunaamana,,
S,भूरिश्रवा,"in the Mahābhārata, son of Somadatta, a great herol; gave away huge wealth in performing yajña; represents action",Bhūriśravā,Bhurisrava,Bhūriśhravā,,bhUrizravA,,,,,,,bhuurishravaa,,,
S,भूत,"also mahābhūta and pañcabhūta, gross element, of which there are five: ākāśa (space), vāyu (air), agni (fire), āpas (water), and pṛthivī (earth)   bhūta = existing, real, true; element, elemental; any of the five elementary consituents of the universe",bhūta,bhuta,,,bhUta,bhoot,bhūtas,,,,,bhuuta,,,
S,भूतादि,"originator of all beings, the name of Ahamkara,",bhūtādi,bhutadi,,,bhUtAdi,bhutadeh,,,,,,bhuutaadi,,,
S,भूतानि,the gross elements (plural),bhūtāni,bhutani,,,bhUtAni,bhutan,,,,,,bhuutaani,,,
S,भुवः,bīja sound referencing atmosphere,bhuvaḥ,bhuvah,,,bhuvaH,,,,,,,bhuwaH,,,
S,बिडाला,cat ,biḍāla,biḍāla,,,biDAla,vidala,viḍāla,viDaala,,,,biDaala,,,
S,बिहार ,"a state in India, known as the land of monasteries",Bihār,Bihar,,,bihAr,bihar,behar,jahari,,,,bihaar,,,
S,बीज,"seed, the principle, object, support bindu – center, point; also refers to semen",bīja,bija,,,bIja,beeja,,,,,,biija,,,
S,बीज,bīja = seed; in context a chant to help persons go deeper,bīja mantra,bija mantra,,,bIja mantra,,,,,,,biija mantra,,,
S,बिन्दु,"a point of focused energy at the center of in each cakra (which is circular), representing the Absolute",bindu,,,,,bindhu,bindhus,,,,,,,,
S,बोध,"perception bodha = knowing, understanding, intelligence, becoming or being awake or conscious, consciousness, spiritual awakening",bodha,,,,,,,,,,,,,,
S,बोधिसत्त्व,"enlightened existence bodhisattva = one whose essence is perfect knowledge; concept of one who does not leave the body after reaching nirvāṇa, but remains in order to serve humanity ",bodhisattva,,,,,boddisattva,bodhisattwa,,,,,,,,
S,ब्रह्म,absolute God without form; one self-existent Spirit; Supreme Spirit,brahma,,,,,brahm,,,,,,,,,
S,ब्रह्मा,"one of the trimūrtis of the Hindu Pantheon: Brahmā, Viṣṇu and Śiva",Brahmā,Brahma,,,brahmA,brahmah,Brahmaa,brahmah's,brahmas,,,brahmaa,,,
S,ब्रह्मचारिणी,one (feminine) who follows the way of God (bramacarya),brahmacāriṇī,brahmacarini,brahmachāriṇī,brahmacharini,brahmachAriNI,,,,,,,brahmachaariNii,,,
S,ब्रह्मचर्य,one who is walking the path of Brahma; a practitioner of brahmacarya; a person in the first quarter (āśrama) & practicing sacred study as an unmarried student,brahmacarya,,,,,brahmachārin,brahmachari,brahmacāri,,,,,,,
S,ब्राह्ममुहूर्त,"lit. time of Brahma; a period of time before sunrise, considered best for sadhana",brāhmamuhūrta,brahmamuhurta,,,brAhmamuhUrta,brahmamhurta,,,,,,braahmamuhuurta,,,
S,ब्राह्मण,of the priestly caste; a person whose life is dedicated to the study of the Vedas and of the knowledge of Brahma/Brahman; capable to spread the knowledge of the Vedas. ,brāhmaṇa,brahmana,,,brAhmaNa,,,,,,,braahmaNa,,,
S,ब्रह्मानन्द,rapture of absorption into the one self-existent Spirit,brahmānanda,brahmananda,,,brahmAnanda,,,,,,,brahmaananda,,,
S,ब्रह्माण्ड,"brahama’s egg, the cosmos; one of the eighteen major Puranas Hindu texts",brahmāṇḍa,brahmanda,,,brahmANDa,,,,,,,brahmaaNDa,,,
S,ब्रह्मनिष्ठ,"absorbed in contemplation of brahma or the one Self, Spirit",brahmaniṣṭha,brahmanishta,brahmaniṣhṭha,brahmanishtha,brahmaniSTha,,,,,,,brahmaniShTha,,,
S,ब्रह्मरन्ध्र,lit. God's aperture; the space between the brow center (ajñā cakra) and the crown center (sahasrāra cakra)  ,brahmarandhra,,,,,brahmarandra,,,,,,,,,
S,ब्रह्मास्मि,"from ""Ahaṁ Brahmasmi"", I am Brahman, or I am Divine, from Advaita Vedanta",brahmāsmi,brahmasmi,,,brahmAsmi,,,,,,,brahmaasmi,,,
S,ब्रह्मास्त्र,Brahma’s arrow,brahmāstra,brahmastra,,,brahmAstra,,,,,,,brahmaastra,,,
S,ब्रह्मसूत्र,scripture on the study of Brahma; an exposition of Vedic philosophy in the form of terse aphorisms (sūtras),brahmasūtra,brahmasutra,,,brahmasUtra,brahmasutras,,,,,,brahmasuutra,,,
S,ब्रह्मी,"holy, devout; a medicinal herb also called gotu kola",brahmī,brahmi,,,brahmI,,,,,,,brahmii,,,
S,ब्रह्मिन्,"possessing sacred knowledge, a class of persons able to perform certain Vedic rituals. ",brahmin,,,,,brahmins,,,,,,,,,
S,वृन्दावन,a city in the Mathura district of Uttar Pradesh; a place of pilgrimage widely known as the place where Kṛṣṇa grew up as a young cow-herd & played his flute in the forests and on the banks of the sacred river Yamunā.,Bṛndāvan,Brndavan,Bṛindāvan,Brindavan,bRndAvana,,,,,,,bRRindAvana,bR^indAvana,bRRindaavana,
S,वृन्दावन,a city in the Mathura district of Uttar Pradesh; a place of pilgrimage widely known as the place where Kṛṣṇa grew up as a young cow-herd & played his flute in the forests and on the banks of the sacred river Yamunā.,Bṛndāvan,,,,,Vrindavan,Vṛndāvana,,,,,bR^indaavana,bRRindAwana,bR^indAwana,bRRindaawana
S,वृन्दावन,a city in the Mathura district of Uttar Pradesh; a place of pilgrimage widely known as the place where Kṛṣṇa grew up as a young cow-herd & played his flute in the forests and on the banks of the sacred river Yamunā.,Bṛndāvan,,,,,,,,,,,bR^indaawana,,,
S,बुद्धि,"refers to mahat, the great principle (mahat tattva), the intellect, the discriminating mind",buddhi,,,,,buddhau,lrnddli,buddht,buddhI,,,,,,
S,बुद्धिः,"refers to mahat, the great principle (mahat tattva), the intellect, the discriminating mind",buddhiḥ,buddhih,,,buddhiH,,,,,,,,,,
S,बुद्धीन्द्रिय,organs of knowledge having both gross (specific) and subtle (nonspecific) as their objects,buddhīndriya,buddhindriya,,,buddhIndriya,,,,,,,buddhiindriya,,,
S,चैतन्य,universal consciousness,caitanya,,chaitanya,,,chaittanya,,,,,,,,,
S,चक्र,"energy centers in the body, literally ""wheel"".",cakra,,chakra,,,chakras,cbakra,chakraa,cakras,chakrs,,,,,
S,चक्रवर्तिन्,"title of king, means one who has conquered the earth",cakravartin,,,,,chakravarty,,,,,,cakrawartin,,,
S,चक्षुः,"eyes; root is cakṣ, to see, observe, perceive",cakṣuḥ,caksuh,chakṣhuḥ,chakshuh,chakSuH,,,,,,,chakShuH,chaxuH,chakShus,
S,चक्षुः,"eyes; root is cakṣ, to see, observe, perceive",cakṣuḥ,,,,,caksu,shakshu,shaksu,cakṣ,cakṣus,,chaxus,,,
S,चक्षुः,"eyes; root is cakṣ, to see, observe, perceive",cakṣuḥ,,,,,chakshu,caksus,chakṣhus,chakshus,chakSus,,,,,
S,चल,movement; as in cala japa the name of a particular walking meditation,cala,,chala,,,cāla,,,,,,,,,
S,चला,a name for Lakṣmīdevī,Calā,Cala,Chalā,chala,chalA,,,,,,,chalaa,,,
S,चलम्,"mobile, a property of rajas guna ",calam,,chalam,,,,,,,,,,,,
S,चालन,"causing to move; making loose; shaking; as in Śakti Cālana, a mudrā/practice from the haṭha yoga school; it's purpose is to awaken Kuṇḍalinī, also called Śakti (source: Yoga Primer in the Pratyāhāra section)",cālana,calana,chālana,chalana,chAlana,,,,,,,chaalana,,,
S,चामुण्डा,"a fearsome form of Caṇḍī, the Hindu mother goddess, aka Śakti",Cāmuṇḍā,Camunda,Chāmuṇḍā,Chamunda,chAmuNDA,chaumunda,,,,,,chaamuNDaa,,,
S,चण्डी,"aka Caṇḍika, a powerful form of Mahādevi who manifests to destroy evil ",Caṇḍī,Candi,Caṇḍī,Chandi,chaNDI,,,,,,,chaNDii,,,
S,चण्डीपति,another name for Śiva,Caṇḍīpati,Candipati,Chaṇḍīpati,Chandipati,chaNDIpati,chandipath,,,,,,chaNDiipati,,,
S,चन्द्र,moon,candra,,chandra,,,,,,,,,,,,
S,चान्द्रायण,"observer of the course of the moon, moon vehicle",cāndrāyaṇa,candrayana,chāndrāyaṇa,chandrayana,chAndrAyaNa,,,,,,,chaandraayaNa,,,
S,चरक,wandering religious student,caraka,,charaka,,,,,,,,,,,,
S,चरी,young woman,cari,,chari,,,,,,,,,,,,
S,चार्वाक,ancient school of Indian materialistic philosophy,cārvāka,carvaka,chārvāka,charvaka,chArvAka,,,,,,,chaarvaaka,chArwAka,chaarwaaka,
S,चर्य,conduct,carya,,charya,,,,,,,,,,,,
S,चातुर्,four,catur,,chatur,,,,,,,,,,,,
S,चतुरङ्ग,having four parts; having four limbs,caturaṅga,caturanga,chaturaṅga,chaturanga,chaturaGga,,,,,,,chatura~Nga,,,
S,चतुर्थ,the fourth,caturtha,,chaturta,,,,,,,,,,,,
S,चतुर्युग,"four yugas or the universal four ages, named Satya, Tretā, Dvāpara and Kālī",caturyuga,,chaturyuga,,,chaturyugi,,,,,,,,,
S,चतुष्टयस्या,"of the set of four (buddhi, ahaṁkāra, manas, indriya) ",catuṣṭayasya,catustayasya,chatuṣhṭayasya,chatushtayasya,chatuSTayasya,,,,,,,chatuShTayasa,,,
S,चेष्टा,effort,ceṣṭā,cesta,cheṣhṭa,cheshta,cheSTA,,,,,,,cheShTA,cheShTaa,,
S,चेत् ,"only if, only when, only",cet,,chet,,,,,,,,,,,,
S,चेतन,"conscious, sentient, alive",cetana,,chetana,,,,,,,,,,,,
S,चेतना,conciousness,cetanā,cetana,chetanā,chetana,chetanA,chetanA,,,,,,chetanaa,,,
S,चेकितान,"in the Mahābharata, he was a Yādava hero who belonged to the Vṛṣṇi clan; he represents memory and higher intelligence; also represents nāda",Cekitāna,Cekitana,,,chekitAna,,,,,,,chekitaana,,,
S,छिदक,Indra’s thunderbolt,chidaka,chidakash,chhidaka,,,,,,,,,Chidaka,,,
S,चिदाभास,reflected consciousness; the reflection of intelligence,cidābhāsa,cidabhasa,chidābhāsa,chidabhasa,cidAbhAsa,,,,,,,chidaabhaasa,,,
S,चित्र,"a son of Dhṛtarāṣṭra killed in war by Bhīmasona (Mahābhārata Droṇa Parva, Chapter 136, Verse 20)",Citra,,Chitra,,chitra,,,,,,,,,,
S,चित्रकूट,"a city, district, and dam in Uttar Pradesh",Citrakūta,Citrakuta,Chitrakūta,Chitrakuta,chitrakUta,chitrakutka,,,,,,chitrakuuta,,,
S,चित्रम्,so as to be bright,citram,,chitram,,,,,,,,,,,,
S,चित्ररथ,king of Aṅga in the Rāmāyaṇam; also named Romapada and Lomapada,Citraratha,,,,chitraratha,chitrarakta,,,,,,,,,
S,चित्रेश,"lord of the stars, the moon",Citreśa,Citresa,Chitreśha,Chitresha,chitreza,chitresh,,,,,,chitresha,,,
S,चित्त,"mind  field; mind, field of consciousness; field of experience",citta,,chitta,,,chlt,chitt,,,,,,,,
S,चित्ति,"conscious principle, light of consciousness; energy of senses",citti,,chitti,,,chiti,,,,,,,,,
S,चोटीवाला,"in Hindi, a lock of hair on top of the head as kept by traditionalist Hindus",coṭīvāla,cotivala,choṭīvala,chotivala,choTIvAla,,,,,,,choTiivaala,choTIwala,choTiiwala,
S,चोटीवाला,"in Hindi, a lock of hair on top of the head as kept by traditionalist Hindus",coṭīvāla,,,,,choti-wala,,,,,,,,,
S,चूर्ण,powder; rice mixed w sesame seed,cūrṇa,curna,chūrṇa,churna,chUrNa,,,,,,,chuurNa,,,
S,दग्ध,"dagdha = burned used in context of ""dagdha bīja"" or fried or roasted seed, generally referring to the state of the kleśas after discrimination in which their potency to germinate or grow has been destroyed just as a seed cannot sprout after being roasted in a fire",dagdha,,,,,dugdha,,,,,,,,,
S,दैहिक,bodily or corporeal,daihika,,,,,,,,,,,,,,
S,दैविक,"a particular deity, or coming from the Gods",daivika,,,,,daivic,,,,,,daiwika,,,
S,दक्षिण,situated on the right-hand side; right hand or arm; situated to the south,dakṣiṇa,,dakṣhiṇa,dakshina,dakSiNa,,,,,,,dakShiNa,daxiNa,,
S,दाक्षिणिक,"one of three kinds of ignorance that cause bondage, personal, referring to those who perform charitable actions for personal gain and desire",dākṣiṇikāḥ,daksinikah,dākṣhiṇikaḥ,dakshinikah,dAkSiNikaH,dAkSiNikaH,,,,,,daakShiNikaH,,,
S,दाल,"split, torn apart, fragment; dried splip eas or lentils for cooking; a kind of wild honey",dāla,dala,,,dAla,dhal,dal,dahl,dall,,,daala,,,
S,डमरु,drum shaped like an hourglass,ḍamaru,damaru,,,Damaru,,,,,,,,,,
S,दान,donation,dāna,dana,,,dAna,danam,,,,,,daana,,,
S,दानव,"demon; asuras, anti-gods",dānava,danava,,,dAnava,,,,,,,daanava,daanawa,dAnawa,
S,दण्ड,"staff, stick; plank; club, handle; power, force; stem, stalk of a tree",daṇḍa,danda,,,daNDa,,,,,,,,,,
S,दण्डहस्त,"in iconograoghy or symbolism, arm and hand are thrown forwards and held straight like a stick or like the trunk of an elephant; also called gajahasta",daṇḍahasta,dandahasta,,,daNDahasta,dhandha,hastha,,,,,,,,
S,दर्शन,auspicious sight or audience with a saintly person or deity,darśana,darsana,darśhana,darshana,darzana,darshan,darshans,,,,,,,,
S,दर्शनार्थम्,for the purpose fo meeting someone,darśanārtham,darsanartham,darśhanārtham,darshanartham,darzanArtham,darzanArtham,,,,,,darshanArtham,darshanaartham,,
S,दश,ten,daśa,dasa,daśhā,dasha,dazA,,,,,,,dashA,dashaa,,
S,दशधा,tenfold,daśadhā,dasadha,daśhadhā,dashadha,dazadhA,,,,,,,dashadhA,dashadhaa,,
S,दशाङ्गुल,"length of 10 finger widths; a space between ajna and the mula point of sahasrara, as called in the Upanishads",daśāṅgula,dasangula,daśhāṅgula,dashangula,dazAGgula,dashambulam,,,,,,dashA~Ngula,dashaa~Ngula,,
S,दशरथ,"king of Kosal kingdom and father of Ram; means 10 organs (of perception and action), which means the body",Daśaratha,Dasaratha,Daśharatha,Dasharatha,dazaratha,dhasarata,,,,,,dasharatha,,,
S,दास्य,"service; subordination, as in dāsya bhava, sense of subordination",dāsya,dasya,,,dAsya,,,,,,,daasya,,,
S,दौर्मनस्य,"depression or frustration, sensation of disatisfaction",daurmanasya,,,,,,,,,,,,,,
S,देह,body; person,deha,,,,,,,,,,,,,,
S,देहली,city and territory of India,Dehlī,Dehli,,,dehlI,dehli,,,,,,dehlii,,,
S,देहरादून,region in the Kumaon area,Dehrādūn,Dehradun,,,dehrAdUn,dehradun,,,,,,dehraaduun,,,
S,देश,space,deśa,desa,deśha,desha,deza,,,,,,,,,,
S,देशं,"land, country, direction as in, ”… land of the kurus.” (kuru-deśaṃ; कुरु-देशं )",deśaṃ,desam,deśhaṃ,desham,dezaM,,,,,,,deshaM,desha.n,desha.m,
S,देशं,"land, country, direction as in, ”… land of the kurus.” (kuru-deśaṃ; कुरु-देशं )",deśaṃ,,,,,daeshan,daeshan,,,,,,,,
S,देव,"from root, ""div"", shining; deva - heavenly, divine, the 'shining ones', the gods; babaji also said that the senses and energies of nature were also referred to as 'devas'; feminine, 'devī' = goddess",deva,,,,,devas,,,,,,dewa,,,
S,देवी," luminous being; goddess; divine being; within the body, the senses & parts of the mind (with connections/associations to presiding deities in the cosmos & divine energies) are considered Devas",devī,devi,,,devI,dewa,,,,,,dewI,dewii,devii,
S,धैर्य,"firmness, durability, strength, constancy, steadiness, calmness; patience",dhairya,,,,,,,,,,,,,,
S,धनति,sound,dhanati,dhanati,dhaṇati,dhaNati,,dhanat,,,,,,,,,
S,दानु,a bow (archery),dhanu,,,,,danu,,,,,,,,,
S,धनुस्,"bow (violin), desert, arid land, arc or part of a circle, Chironji tree, sign of the zodiac Sagittarius",dhanus,,,,,,,,,,,,,,
S,धार,"holding, supporting, containing",dhāra,dhara,,,dhAra,,,,,,,dhaara,,,
S,धारणा,"concentration, sixth limb of Aṣṭāṅga Yoga",dhāraṇā,dharana,,,dhAraNA,,,,,,,dhaaraNaa,,,
S,धर्म,righteousness; attributes,dharma,,,,,dharmena,dharmas,,,,,,,,
S,धर्मचरण,"performance of duty, observance of the law",dharmacaraṇa,dharmacarana,dharmacharaṇa,dharmacharana,dharmacharaNa,dharmacharanan,,,,,,,,,
S,धर्माध्यक्ष,"judge, magistrate, minister of justice, overseer of justice",dharmādhyakṣa,dharmadhyaksa,dharmādhyakṣha,dharmadhyaksha,dharmAdhyakSa,,,,,,,dharmAdhyakSha,dharmaadhyakSha,dharmAdhyaxa,
S,धर्माध्यक्ष,"judge, magistrate, minister of justice, overseer of justice",dharmādhyakṣa,,,,,dharmadyah,,,,,,dharmaadhyaxa,,,
S,धर्मक्षेत्र,"in the Mahābhārata, dharmakṣetra is the body, the field of action (kṣetra); the seeds of all actions are sown in this field and then their results appear",dharmakṣetra,dharmaksetra,dharmakṣhetra,dharmakshetra,dharmakSetra,,,,,,,dharmakShetra,dharmaxetra,,
S,र्ममेघ,"cloud pouring virtue, a particular samadhi",dharmamegha,,,,,dharma megha,dharmamega,,,,,,,,
S,धर्मस्य,of righteousness,dharmasya,,,,,vasya,,,,,,,,,
S,धर्मी,substratum,dharmī,dharmi,,,dharmI,,,,,,,dharmii,,,
S,धर्मिक,"having qualities related to dharma, righteous",dhārmika,dharmika,,,dhArmika,dharmic,,,,,,dhaarmika,,,
S,धार्य,"to be observed or followed, to be upheld or maintained, to be borne in mind",dhārya,dharya,,,dhArya,dhAryam,dhāryam,dharyam,,,,dhaarya,dhaaryam,,
S,धातु,"in Āyurveda, the seven fundamental principles (elements) that support the basic structure (and functioning) of the body",dhātu,dhatu,,,dhAtu,datus,datu,dhatus,,,,dhaatu,,,
S,धौती,"purification, wash",dhautī,dhauti,,,dhautI,,,,,,,dhautii,,,
S,धेन्,(spelling not verified) ancient Sanskrit (Saṃskṛta) word for meditation,dhen,,,,,,,,,,,,,,
S,धेनु,"cow, milch cow; the earth",dhenu,,,,,,,,,,,,,,
S,धीर,"brave, strong, firm, steady, perseverant, well-controlled, versed in",dhīra,dhira,,,dhIra,dira,,,,,,dhiira,,,
S,धीरम्,"firmly, steadily",dhīram,dhiram,,,dhIram,,,,,,,dhiiram,,,
S,धृष्टद्युम्न,son of king Drupada in the Mahābhārata; represents self control,Dhṛṣṭadyumna,Dhrstadyumna,Dhṛiṣhṭadyumna,Dhrishtadyumna,dhRSTadyumna,drishtadubna,,,,,,dhR^iShTadyumna,dhRRiShTadyumna,,
S,धृष्टद्युम्न,son of king Drupada in the Mahābhārata; represents self control,Dhṛṣṭadyumna,Dhrstadyumna,Dhṛiṣhṭadyumna,Dhrishtadyumna,dhRSTadyumna,drishtadubna,,,,,,dhR^iShTadyumna,dhRRiShTadyumna,,
S,धृष्टकेतु,son of king Drupada in the Mahābhārata; represents yamas (restraints),Dhṛṣṭaketu,Dhrstaketu,Dhṛiṣhṭaketu,Dhrishtaketu,dhRSTaketu,dristakatu,,,,,,dhR^iShTaketu,dhRRiShTaketu,,
S,धृत,"firmness, steadiness, equanimity",dhṛta,dhrta,dhṛita,dhrita,dhṛiti,dhRta,,,,,,dhRRita,dhR^ita,,
S,धृत,"firmness, steadiness, equanimity",dhṛta,,,,,,dhrit,drita,,,,,,,
S,धृतराष्ट्र,"a king in the Mahābhāratam who represents the ""mind-body complex""; He was the father of the Kauravas, and he was blind. Dhṛt means “to hold” and rastra means “kingdom”– one who holds the kingdom in the body,” referring to manas. Manas is the
experiencer of the world, but it can’t experience without the senses. So manas is blind.",Dhṛtarāṣṭra,Dhrtarastra,Dhṛitarāṣhṭra,dhritarashtra,dhRtarASTra,,,,,,,dhR^itarAShTra,dhRRitarAShTra,dhR^itaraaShTra,
S,धृतराष्ट्र,"a king in the Mahābhāratam who represents the ""mind-body complex""; He was the father of the Kauravas, and he was blind. Dhṛt means “to hold” and rastra means “kingdom”– one who holds the kingdom in the body,” referring to manas. Manas is the
experiencer of the world, but it can’t experience without the senses. So manas is blind.",Dhṛtarāṣṭra,,,,,dhritarastra,dritarashtra,dhritarashthra,dhritarastra,dritarashtra,dhritarashthra,dhRRitaraaShTra,,,
,धृत्,To hold,dhṛt,dhrt,dhṛit,dhrit,dhRt,,,,,,,dhR^it,dhRRit,,
S,धृति,"self command, courage",dhṛti,dhrti,dhṛiti,dhriti,dhRti,,,,,,,dhR^iti,dhRRiti,,
S,धूमावती,"one of ten great knowledges, das mahavidya, a group of Hindu Tantric goddesses",Dhūmāvatī,Dhumavati,,,dhUmAvatI,tumwati,,,,,,dhUmAwatI,dhuumaavatii,dhuumaawatii,
S,ध्वज,"flag, banner",dhvaja,,,,,,,,,,,dhwaja,,,
S,ध्या,meditation,dhyā,dhya,,,dhyA,,,,,,,dhyaa,,,
S,ध्यान,"meditation, seventh limb of Aṣṭāṅga Yoga",dhyāna,dhyana,,,dhyAna,dhyan,,,,,,dhyaana,,,
S,ध्यानं,"meditation, seventh limb of Aṣṭāṅga Yoga",dhyānaṃ,dhyanam,,,dhyAnaM,dhyānaṁ,,,,,,dhyaanaM,dhyaana.m,dhyaana.n,
S,दिगम्बर,a member of one of the two principal sects of Jainism,digambara,,,,,digambar,,,,,,,,,
S,दीपावलि,also called diwali (English); Hindu festival of lights,dīpāvali,dipavali,,,dIpAvali,devali,divali,,,,,diipaawali,diipaavali,dIpAwali,
S,दीपावलि,also called diwali (English); Hindu festival of lights,dīpāvali,,,,,diwali,,,,,,,,,
S,दीर्घ,"long, slow",dīrgha,dirgha,,,dIrgha,,,,,,,diirgha,,,
S,दीर्घकाल,a long time,dīrghakāla,dirghakala,,,dIrghakAla,,,,,,,diirghakaala,,,
S,दिव्य,"spendorous, celestial, heavenly",divya,,,,,,,,,,,diwya,,,
S,दिव्य दृष्टि,divine sight or gaze; the third-eye or divine eye,divya dṛṣṭi,divya drsti,divya dṛiṣhṭi,divya drishti,divya dRSTi,,,,,,,divya dRRiShTi,divya dR^iShTi,diwya dRRiShTi,
S,दिव्य दृष्टि,divine sight or gaze; the third-eye or divine eye,divya dṛṣṭi,,,,,,,,,,,diwya dR^iShTi,,,
S,दोष,"literally, “fault”; the three bodily humors (vāta, air; pitta, fire; kapha, earth) as classified by Āyurveda",doṣa,dosa,doṣha,dosha,doSa,doshas,dosh,,,,,doSha,,,
S,द्रष्टा,"witness, witnessing; observer, seer",draṣṭā,drasta,draṣhṭā,drashta,draSTA,,,,,,,draShTA,draShTaa,,
S,द्रष्टृ,the seer,draṣṭṛ,drastr,draṣhṭri,drashtri,draSTR,,,,,,,draShTR^i,draShTRRi,,
S,द्रष्ट्रित्व,faculty of seeing,draṣṭritva,drastritva,draṣhṭritva,drashtritva,draSTritva,drastrtvam,,,,,,draShTritva,draShTritwa,,
S,द्रौपदेय,The five sons of Draupadī; in the Bhagavad Gītā represent the properties of the pañca bhūtas (5 elements),Draupadeya,,,,,,,,,,,,,,
S,द्राविड,"related to the family of languages spoken in southern India and Sri Lanka, or the peoples who speak them",drāviḍa,dravida,,,drAviDa,dravidians,,,,,,drAwiDa,draaviDa,draawiDa,
S,दृढ,"fixed, firm, strong, unshaken",dṛḍha,drdha,dṛiḍha,dridha,dRDha,,,,,,,dRRiDha,dR^iDha,,
S,दृढभूमि,firmly grounded,dṛḍhabhūmi,drdhabhumi,dṛiḍhabhūmi,dridhabhumi,dRDhabhUmi,,,,,,,dR^iDhabhuumi,dRRiDhabhuumi,dR^iDhabhUmi,
S,दृढभूमि,firmly grounded,dṛḍhabhūmi,,,,,,,,,,,dRRiDhabhUmi,,,
S,दृग,"seer, pure consciousness, puruṣa",dṛga,drga,dṛiga,driga,dRga,,,,,,,dR^iga,dRRiga,,
S,द्रोण,another name of droṇācārya; character in the Mahābhārata representing pure buddhi,Droṇa,drona,,,droNa,dron,,,,,,,,,
S,द्रोणाचार्य,"In the Bhagavad Gītā, represents breath control, experiential knowledge, and the intellect that can support both positive and negative actiona; also called Droṇa. He was the teacher of both the Kauravas and the Pāṇḍavas. Represents buddhi guided by tendencies which pull toward doing good or bad actions.",Droṇācārya,Dronacarya,Droṇāchārya,Dronacharya,droNAchArya,dronacharya,,,,,,droNaachaarya,,,
S,दृष्ट,"seen, observation, considered, experienced",dṛṣṭa,drsta,dṛiṣhṭa,drishta,dRSTa,,,,,,,dRRIShTa,dR^IShTa,,
S,दृष्ट,"seen, observation, considered, experienced",dṛṣṭa,,,,,drstat,drste,dṛṣṭe,Drshta,drish,,,,,
S,धृष्टद्युम्न,"in the Mahābhārata, the son of King Drupada. Represents self control, light of wisdom which comes in sādhana stage, and
leads an aspirant toward knowledge.",Dhṛṣṭadyumna,Dhrstadyumna,Dhṛiṣhṭadyumna,Dhrishtadyumna,dhRSTadyumna,,,,,,,dhR^iShTadyumna,dhRRiShTadyumna,,
S,धृष्टकेतु,"in the Mahābhārata, he represents yamas (restraints); he was the son of Śiśupāla, who was a king of Cedi; represents a stage where kriyās in all six cakras are performed.",Dhṛṣṭaketu,Dhrstaketu,Dhṛiṣhṭaketu,Dhrishtaketu,dhRSTaketu,,,,,,,dhR^iShTaketu,dhRRiShTaketu,,
S,दृष्टः,was seen,dṛṣṭaḥ,drstah,dṛiṣhṭaḥ,drishtah,dRSTaH,,,,,,,dR^iShTaH,dRRiShTaH,,
S,दृष्टं,perception,dṛṣṭaṃ,drstam,dṛiṣhṭaṃ,drishtam,dRSTaM,dṛṣṭaṁ,,,,,,dRRIShTaM,dRRIShTa.m,,
S,दृष्टं,perception,dṛṣṭaṃ,,,,,,,,,,,dRRIShTa.n,dR^IShTaM,dR^IShTa.m,dR^IShTa.n
S,दृष्टवत्,having seen,dṛṣṭavat,drstavat,dṛiṣhṭavat,drishtavat,dRSTavat,,,,,,,dR^iShTavat,dRRiShTavat,dR^iShTawat,
S,दृष्टवत्,having seen,dṛṣṭavat,,,,,,,,,,,dRRiShTavat,,,
S,दृष्टि,"seeing, viewing; knowing, knowledge; eye, faculty of seeing, inner sight; point or place of sight; vision",dṛṣṭi,drsti,dṛiṣhṭi,drishti,dRSTi,,,,,,,dRRiShTi,dR^iShTi,,
S,द्रुपद,"in the Mahābhārata, he was a great warrior king, son of King Pṛṣata of Pañcāla; represents prāṇa force",Drupada,,,,drupada,drupa,Drupad,,,,,,,,
S,ध्रुव,"stable, fixed, pole star, post, and several others",dhruva,,,,,druva,,,,,,druwa,,,
S,दुःख,"suffering, misery, grief, distress, unpleasant, disagreeable",duḥkha,duhkha,,,duHkha,dukha,,,,,,,,,
S,,Hindi name of an herb that also grows in the US [not further identified],dunkuni,,,,,,,,,,,,,,
S,दुर्गा,"Hindu goddess of power, strength and protection",Durgā,durga,,,durgA,Durga,Durg,,,,,durgaa,,,
S,दुर्योधन,"in the Hindu epic Mahābhārata, eldest of the Kaurava sons; represents passion, desires for sensual objects. The strongest power of manas is the desire for sensual objects, so Duryodhana was the first son of Dhṛtarāṣṭra the blind king",Duryodhana,duryodhana,,,,duyudhana,,,,,,,,,
S,दूषितम्,"gone bad, spoiled",dūṣitam,dusitam,dūṣhitam,dushitam,dUSitam,,,,,,,dUShitam,duuShitam,,
S,दूत,"messenger, envoy, ambassador",dūta,duta,,,dUta,,,,,,,duuta,,,
S,द्वापर,"uncertainty, doubt",dvāpara,dvapara,,,dvApara,dwapara,,,,,,dwApara,dvaapara,dwaapara,
S,द्वापर,"uncertainty, doubt",dvāpara,,,,,dvarpara,dvāpar,,,,,,,,
